sales_record_number,shipping
5646,7.9
5647,2.1
5648,2.6
5649,2.1
5650,1.05
5651,1.05
5652,7.9
5653,1.05
5654,8.5
5661,0
5660,6.1
5654,8.5
5653,1.1
5652,7.9
5661,1.1
5650,1.1
5649,2.1
5648,2.65
5647,2.1
5646,7.95
5645,6.65
5644,6.65
5662,8.5
5663,2.65
5669,7.55
5670,2.65
5671,1.1
5676,2.1
5677,1.1
5678,6.65
5679,7.9
5680,1.1
5681,2.1
5682,7.5
5683,2.3
5684,6.1
5685,0
5686,6.3
5692,6.1
5693,6.1
5700,7.6
5703,6.1
5704,2.1
5705,2.2
5706,6.65
5710,2.2
5711,2.1
5712,1.1
5713,2.1
5716,2.1
5717,7.55
5718,2.1
5719,1.1
5720,2.1
5721,1.1
5722,1.1
5723,2.1
5724,2.1
5725,2.1
5726,6.6
5727,6.7
5728,2.1
5729,2.1
5730,1.1
5731,6.3
5732,7.6
5733,1.1
5734,6.6
5735,3.1
5736,6.1
5737,2.1
5738,2.6
5739,2.1
5740,2.1
5741,1.1
5742,1.1
5743,1.1
5744,6.6
5745,1.1
5746,2.1
5747,6.6
5748,1.1
5749,2.1
5750,2.3
5751,2.3
5752,2.1
5753,2.3
5754,2.6
5755,1.1
5756,2.6
5757,2.1
5758,1.1
5759,8.3
5760,1.1
5761,6.6
5762,7.6
